Index,TCGA Gene ID,Value,Official Symbol,GeneID,ReplacementGeneID,OfficialSymbol
5,?|100130426,,?,100130426,100286938,VPS13A-AS1
6,?|100133144,,?,100133144,100134869,UBE2Q2P3
9,?|10431,,?,10431,100652748,TIMM23
10,?|136542,,?,136542,100289017,MOXD2
11,?|155060,,?,155060,,LOC155060
14,?|317712,,?,317712,100337616,CSN1S2BP
18,?|391343,,?,391343,,LOC391343
21,?|441362,,?,441362,,REXO1L6P
23,?|553137,,?,553137,100422737,LOC553137
24,?|57714,,?,57714,57674,RNF213
25,?|645851,,?,645851,124923,RSKR
26,?|652919,,?,652919,729540,RGPD6
29,?|728603,,?,728603,728798,FRMPD2B
30,?|728788,,?,728788,,ANKRD20A20P
31,?|729884,,?,729884,28983,TMPRSS11E
422,AGAP8|728404,,AGAP8,728404,119016,AGAP4
500,AKAP2|11217,,AKAP2,11217,445815,PALM2AKAP2
786,ANXA8L2|244,,ANXA8L2,244,728113,ANXA8L1
898,AQP7P3|441432,,AQP7P3,441432,,
1005,ARL17B|641522,,ARL17B,641522,100506084,ARL17B
1085,ASAP1IT1|29065,,ASAP1IT1,29065,,
1375,BAGE|574,,BAGE,574,,
1401,BAT2L1|84726,,BAT2L1,84726,,PRRC2B
1685,C10orf108|414235,,C10orf108,414235,,DIP2C-AS1
1688,C10orf113|387638,,C10orf113,387638,10529,NEBL
1696,C10orf12|26148,,C10orf12,26148,84458,LCOR
1700,C10orf131|100127889,,C10orf131,100127889,387707,CC2D2B
1737,C10orf93|255352,,C10orf93,255352,54777,CFAP46
1829,C12orf63|374467,,C12orf63,374467,144535,CFAP54
1838,C12orf74|338809,,C12orf74,338809,440107,PLEKHG7
1876,C14orf139|79686,,C14orf139,79686,161176,SYNE3
1887,C14orf165|414767,,C14orf165,414767,102724845,LINC00596
1898,C14orf181|400223,,C14orf181,400223,,
1900,C14orf183|196913,,C14orf183,196913,,LINC01599
1901,C14orf184|650662,,C14orf184,650662,,
1934,C15orf28|80035,,C15orf28,80035,,ANP32A-IT1
1948,C15orf50|414926,,C15orf50,414926,,LINC00593
1956,C15orf5|81698,,C15orf5,81698,,LINC00597
2017,C17orf47|284083,,C17orf47,284083,5414,SEPTIN4
2242,C1orf84|149469,,C1orf84,149469,23334,SZT2
2335,C21orf125|284836,,C21orf125,284836,,LINC00319
2340,C21orf15|54094,,C21orf15,54094,54055,CYP4F29P
2365,C21orf96|80215,,C21orf96,80215,,RUNX1-IT1
2415,C2orf48|348738,,C2orf48,348738,6241,RRM2
2505,C3orf74|100128378,,C3orf74,100128378,,LINC00696
2556,C5orf23|79614,,C5orf23,79614,4883,NPR3
2595,C6orf114|85411,,C6orf114,85411,54438,GFOD1
2616,C6orf147|387097,,C6orf147,387097,,
2624,C6orf164|63914,,C6orf164,63914,,LINC01590
2630,C6orf176|90632,,C6orf176,90632,,LINC00473
2659,C6orf59|79992,,C6orf59,79992,,AGPAT4-IT1
2671,C7orf13|129790,,C7orf13,129790,100506380,RNF32-DT
2806,C9orf47|286223,,C9orf47,286223,1903,S1PR3
2845,CA5BP|340591,,CA5BP,340591,,
2998,CASP12|120329,,CASP12,120329,100506742,CASP12
3110,CCDC144NL|339184,,CCDC144NL,339184,,
3180,CCDC7|221016,,CCDC7,221016,79741,CCDC7
3241,CCL3L1|6349,,CCL3L1,6349,,
3244,CCL4L2|388372,,CCL4L2,388372,,CCL4L1
3626,CES4|51716,,CES4,51716,,CES1P1
4248,CRIPAK|285464,,CRIPAK,285464,,
4300,CSAG2|728461,,CSAG2,728461,102723547,CSAG2
4372,CT45A4|441520,,CT45A4,441520,441519,CT45A3
4387,CTAGE4|100128553,,CTAGE4,100128553,,
4496,CXorf1|9142,,CXorf1,9142,84631,SLITRK2
4498,CXorf22|170063,,CXorf22,170063,286464,CFAP47
4502,CXorf30|645090,,CXorf30,645090,286464,CFAP47
4552,CYorf15B|84663,,CYorf15B,84663,246126,TXLNGY
4637,DAD1L|56286,,DAD1L,56286,,DAD1P1
4882,DGCR10|26222,,DGCR10,26222,26220,DGCR5
4890,DGCR9|25787,,DGCR9,25787,26220,DGCR5
4968,DISC2|27184,,DISC2,27184,,
4977,DKFZp434L192|222029,,DKFZp434L192,222029,,
4978,DKFZp566F0947|94023,,DKFZp566F0947,94023,,
4979,DKFZP586I1420|222161,,DKFZP586I1420,222161,,
4980,DKFZp686A1627|266695,,DKFZp686A1627,266695,,PHF2P1
5666,EPR1|8475,,EPR1,8475,,
5828,F8A1|8263,,F8A1,8263,,
5949,FAM153B|202134,,FAM153B,202134,,
6049,FAM21B|55747,,FAM21B,55747,387680,WASHC2A
6063,FAM27A|548321,,FAM27A,548321,100132948,FAM27C
6065,FAM27C|100132948,,FAM27C,100132948,,
6149,FAM75A2|642265,,FAM75A2,642265,647060,SPATA31A1
6158,FAM7A2|100288380,,FAM7A2,100288380,,ULK4P2
6275,FBXO22OS|692224,,FBXO22OS,692224,,
6465,FKSG29|100131561,,FKSG29,100131561,,
6467,FKSG83|83954,,FKSG83,83954,387316,VN1R10P
6483,FLJ14107|80094,,FLJ14107,80094,,BIN3-IT1
6486,FLJ23867|200058,,FLJ23867,200058,5768,QSOX1
6489,FLJ25758|497049,,FLJ25758,497049,,
6503,FLJ37201|283011,,FLJ37201,283011,,
6511,FLJ40292|643210,,FLJ40292,643210,79813,EHMT1
6519,FLJ42627|645644,,FLJ42627,645644,,
6522,FLJ43390|646113,,FLJ43390,646113,,LINC00643
6530,FLJ44635|392490,,FLJ44635,392490,340527,NHSL2
6533,FLJ45340|402483,,FLJ45340,402483,,LINC01000
6610,FOXD4L2|100036519,,FOXD4L2,100036519,349334,FOXD4L4
6807,GAGE10|643832,,GAGE10,643832,102724473,GAGE10
6814,GAGE2B|645037,,GAGE2B,645037,,
6815,GAGE2C|2574,,GAGE2C,2574,,
6816,GAGE2D|729408,,GAGE2D,729408,,
6817,GAGE2E|26749,,GAGE2E,26749,,
6818,GAGE4|2576,,GAGE4,2576,,
6819,GAGE8|100101629,,GAGE8,100101629,,
6891,GATSL1|389523,,GATSL1,389523,729438,CASTOR2
6897,GBAP1|2630,,GBAP1,2630,,
7208,GOLGA6L5|374650,,GOLGA6L5,374650,,
7379,GPR89C|728932,,GPR89C,728932,51463,GPR89B
7510,GSTT1|2952,,GSTT1,2952,,
7513,GSTTP2|653399,,GSTTP2,653399,,
7610,H2BFXP|767811,,H2BFXP,767811,,H2BW4P
7643,HAS2AS|594842,,HAS2AS,594842,,HAS2-AS1
7684,HCG26|352961,,HCG26,352961,,
7686,HCG2P7|80867,,HCG2P7,80867,,
7757,HERC2P4|440362,,HERC2P4,440362,100289574,HERC2P4
7784,HGC6.3|100128124,,HGC6.3,100128124,,
7881,HIST2H2AA3|8337,,HIST2H2AA3,8337,,H2AC18
7999,HOMEZ|57594,,HOMEZ,57594,,
8066,HPVC1|3262,,HPVC1,3262,,
8126,HSFX1|51402,,HSFX1,51402,100506164,
8131,HSN2|378465,,HSN2,378465,65125,WNK1
8198,HULC|728655,,HULC,728655,,
8554,IPW|3653,,IPW,3653,,
8959,KIAA0754|643314,,KIAA0754,643314,23499,MACF1
8975,KIAA1107|23285,,KIAA1107,23285,284697,BTBD8
9097,KIR3DP1|768329,,KIR3DP1,768329,548594,KIR3DP1
9576,LILRA3|11026,,LILRA3,11026,,
9665,LOC100124692|100124692,,LOC100124692,100124692,93432,MGAM2
9670,LOC100128076|100128076,,LOC100128076,100128076,,
9674,LOC100128288|100128288,,LOC100128288,100128288,,
9678,LOC100128573|100128573,,LOC100128573,100128573,,
9684,LOC100128842|100128842,,LOC100128842,100128842,,
9686,LOC100129034|100129034,,LOC100129034,100129034,,
9692,LOC100129637|100129637,,LOC100129637,100129637,54758,KLHDC4
9695,LOC100129935|100129935,,LOC100129935,100129935,,
9697,LOC100130093|100130093,,LOC100130093,100130093,116841,SNAP47
9699,LOC100130238|100130238,,LOC100130238,100130238,,GALNT9-AS1
9709,LOC100130872|100130872,,LOC100130872,100130872,,
9712,LOC100130987|100130987,,LOC100130987,100130987,,
9722,LOC100132287|100132287,,LOC100132287,100132287,,
9724,LOC100132354|100132354,,LOC100132354,100132354,,LINC01512
9732,LOC100133331|100133331,,LOC100133331,100133331,100288069,
9733,LOC100133469|100133469,,LOC100133469,100133469,338005,LINC00221
9737,LOC100133893|100133893,,LOC100133893,100133893,100287284,MANSC4
9738,LOC100133920|100133920,,LOC100133920,100133920,,
9746,LOC100134868|100134868,,LOC100134868,100134868,,
9750,LOC100170939|100170939,,LOC100170939,100170939,11039,GUSBP14
9751,LOC100188947|100188947,,LOC100188947,100188947,,HECTD2-AS1
9757,LOC100190986|100190986,,LOC100190986,100190986,,
9764,LOC100240726|100240726,,LOC100240726,100240726,7686,MKRN7P
9765,LOC100240734|100240734,,LOC100240734,100240734,,
9766,LOC100240735|100240735,,LOC100240735,100240735,,
9768,LOC100270710|100270710,,LOC100270710,100270710,,
9769,LOC100270746|100270746,,LOC100270746,100270746,,LARRPM
9772,LOC100271831|100271831,,LOC100271831,100271831,,
9773,LOC100271832|100271832,,LOC100271832,100271832,,
9775,LOC100272146|100272146,,LOC100272146,100272146,,NFE2L3P2
9776,LOC100272216|100272216,,LOC100272216,100272216,,
9777,LOC100272217|100272217,,LOC100272217,100272217,,
9779,LOC100286793|100286793,,LOC100286793,100286793,388685,LINC01138
9788,LOC100302650|100302650,,LOC100302650,100302650,,BABAM2-AS1
9798,LOC143188|143188,,LOC143188,143188,143187,VTI1A
9799,LOC143666|143666,,LOC143666,143666,,
9800,LOC144438|144438,,LOC144438,144438,904,CCNT1
9805,LOC145474|145474,,LOC145474,145474,,
9809,LOC145845|145845,,LOC145845,145845,,
9812,LOC146880|146880,,LOC146880,146880,,ARHGAP27P1
9818,LOC148696|148696,,LOC148696,148696,,
9820,LOC148824|148824,,LOC148824,148824,,GCSAML-AS1
9833,LOC151162|151162,,LOC151162,151162,4249,MGAT5
9851,LOC158696|158696,,LOC158696,158696,2258,FGF13
9857,LOC202181|202181,,LOC202181,202181,,SIMC1P1
9880,LOC283070|283070,,LOC283070,283070,57118,CAMK1D
9881,LOC283174|283174,,LOC283174,283174,22997,IGSF9B
9895,LOC284009|284009,,LOC284009,284009,,
9900,LOC284276|284276,,LOC284276,284276,,LINC00908
9901,LOC284379|284379,,LOC284379,284379,,
9903,LOC284441|284441,,LOC284441,284441,,
9905,LOC284578|284578,,LOC284578,284578,,MFSD4A-AS1
9932,LOC285733|285733,,LOC285733,285733,100507203,SMLR1
9939,LOC285847|285847,,LOC285847,285847,,
9945,LOC286359|286359,,LOC286359,286359,,
9946,LOC286367|286367,,LOC286367,286367,55335,NIPSNAP3B
9953,LOC339047|339047,,LOC339047,339047,339044,PKD1P1
9966,LOC341056|341056,,LOC341056,341056,,SAE1P1
9975,LOC349196|349196,,LOC349196,349196,,
9977,LOC374443|374443,,LOC374443,374443,,
9983,LOC388242|388242,,LOC388242,388242,,
9998,LOC389705|389705,,LOC389705,389705,,
10002,LOC391322|391322,,LOC391322,391322,,
10004,LOC399744|399744,,LOC399744,399744,,
10010,LOC400696|400696,,LOC400696,400696,,LGALS17A
10016,LOC400927|400927,,LOC400927,400927,,TPTEP2
10018,LOC400940|400940,,LOC400940,400940,,
10020,LOC401052|401052,,LOC401052,401052,,
10028,LOC402377|402377,,LOC402377,402377,100288842,B3GALT9
10030,LOC407835|407835,,LOC407835,407835,,
10044,LOC441089|441089,,LOC441089,441089,,CRSP8P
10050,LOC441455|441455,,LOC441455,441455,,
10052,LOC441666|441666,,LOC441666,441666,,
10061,LOC541473|541473,,LOC541473,541473,,FKBP6P2
10068,LOC606724|606724,,LOC606724,606724,,
10075,LOC642826|642826,,LOC642826,642826,,BMS1P2
10076,LOC642846|642846,,LOC642846,642846,,
10078,LOC642929|642929,,LOC642929,642929,,
10080,LOC643387|643387,,LOC643387,643387,,TARDBPP3
10084,LOC643763|643763,,LOC643763,643763,286183,NKAIN3
10086,LOC643923|643923,,LOC643923,643923,55531,ELMOD1
10092,LOC644669|644669,,LOC644669,644669,,
10093,LOC644936|644936,,LOC644936,644936,,
10094,LOC645166|645166,,LOC645166,645166,,LSP1P5
10100,LOC646214|646214,,LOC646214,646214,,
10101,LOC646471|646471,,LOC646471,646471,,
10104,LOC646762|646762,,LOC646762,646762,,
10105,LOC646813|646813,,LOC646813,646813,,
10108,LOC646999|646999,,LOC646999,646999,,
10122,LOC652276|652276,,LOC652276,652276,,
10124,LOC653501|653501,,LOC653501,653501,401509,ZNF658B
10138,LOC728024|728024,,LOC728024,728024,,
10145,LOC728554|728554,,LOC728554,728554,,
10155,LOC728875|728875,,LOC728875,728875,728855,LINC00623
10156,LOC728989|728989,,LOC728989,728989,,
10166,LOC729609|729609,,LOC729609,729609,,
10172,LOC730101|730101,,LOC730101,730101,,
10185,LOC90110|90110,,LOC90110,90110,84961,FBXL20
10186,LOC90246|90246,,LOC90246,90246,,
10188,LOC90784|90784,,LOC90784,90784,25885,POLR1A
10189,LOC90834|90834,,LOC90834,90834,,
10192,LOC91450|91450,,LOC91450,91450,,
10196,LOC92973|92973,,LOC92973,92973,51754,TMEM8B
10202,LOH3CR2A|29931,,LOH3CR2A,29931,,
10409,LUZP6|767558,,LUZP6,767558,,
10895,MGC16025|85009,,MGC16025,85009,,
10897,MGC16142|84849,,MGC16142,84849,84060,RBM48
10899,MGC16384|114130,,MGC16384,114130,,
10907,MGC2889|84789,,MGC2889,84789,,
10910,MGC3771|81854,,MGC3771,81854,,ZNF205-AS1
10914,MGC57346|401884,,MGC57346,401884,147081,LINC02210
10916,MGC72080|389538,,MGC72080,389538,,CCZ1P-OR7E38P
10926,MIA2|117153,,MIA2,117153,4253,MIA2
10932,MICA|4276,,MICA,4276,100507436,MICA
10936,MICALCL|84953,,MICALCL,84953,9645,MICAL2
11074,MORF4|10934,,MORF4,10934,,
11176,MRPL42P5|359821,,MRPL42P5,359821,,
11346,MTVR2|246754,,MTVR2,246754,,
11587,NBPF16|728936,,NBPF16,728936,284565,NBPF15
11661,NCRNA00120|55389,,NCRNA00120,55389,,AKIRIN2-AS1
11665,NCRNA00159|54070,,NCRNA00159,54070,100551499,LINC00159
11671,NCRNA00169|400508,,NCRNA00169,400508,,CRYM-AS1
11680,NCRNA00185|55410,,NCRNA00185,55410,83869,TTTY14
11684,NCRNA00201|284702,,NCRNA00201,284702,3192,HNRNPU
12289,OCLM|10896,,OCLM,10896,,
12290,OCLN|4950,,OCLN,4950,100506658,OCLN
12424,OR1D4|8385,,OR1D4,8385,653166,OR1D4
12541,OR4F4|26682,,OR4F4,26682,,OR4F4
12704,OR7E37P|26636,,OR7E37P,26636,26637,OR7E36P
12735,OR9G9|504191,,OR9G9,504191,,
12902,PALM2|114299,,PALM2,114299,445815,PALM2AKAP2
12939,PAR4|347745,,PAR4,347745,,PWAR4
12966,PAR-SN|347746,,PAR-SN,347746,,PWARSN
12991,PBK|55872,,PBK,55872,,
13222,PDZK1P1|728939,,PDZK1P1,728939,100034743,
13235,PEG3AS|100169890,,PEG3AS,100169890,,PEG3-AS1
13299,PGBD3|267004,,PGBD3,267004,,
13809,POTEB|339010,,POTEB,339010,102724631,POTEB3
13867,PPIAL4C|653598,,PPIAL4C,653598,,
13868,PPIAL4D|645142,,PPIAL4D,645142,,
13924,PPP1R2P1|5505,,PPP1R2P1,5505,,
13991,PRAMEF16|654348,,PRAMEF16,654348,,
13995,PRAMEF22|653606,,PRAMEF22,653606,,
13997,PRAMEF3|401940,,PRAMEF3,401940,,
14043,PRG1|23574,,PRG1,23574,,
14058,PRINS|100169750,,PRINS,100169750,,
14113,PRO0611|28997,,PRO0611,28997,,
14114,PRO0628|29053,,PRO0628,29053,,
14168,PRR21|643905,,PRR21,643905,,
14174,PRR25|388199,,PRR25,388199,,
14373,PTPN20A|653129,,PTPN20A,653129,26095,PTPN20
15147,RNY5|6090,,RNY5,6090,,
15210,RPL19P12|100129424,,RPL19P12,100129424,,
15326,RPSAP58|388524,,RPSAP58,388524,,RPSA2
15410,RUNDC2A|84127,,RUNDC2A,84127,92017,SNX29
15411,RUNDC2C|440352,,RUNDC2C,440352,,SNX29P2
15571,SCARNA27|100124533,,SCARNA27,100124533,,
15579,SCARNA9L|100158262,,SCARNA9L,100158262,,
15963,SH3D20|201175,,SH3D20,201175,201176,ARHGAP27
16461,SLFN12L|342615,,SLFN12L,342615,100506736,
16572,SNAR-A13|100169959,,SNAR-A13,100169959,,
16573,SNAR-A2|100126799,,SNAR-A2,100126799,,
16574,SNAR-A3|100169951,,SNAR-A3,100169951,,
16575,SNAR-A4|100169956,,SNAR-A4,100169956,,
16576,SNAR-B2|100170217,,SNAR-B2,100170217,,
16577,SNAR-C2|100170218,,SNAR-C2,100170218,,
16578,SNAR-C3|100170226,,SNAR-C3,100170226,,
16579,SNAR-C4|100170219,,SNAR-C4,100170219,,
16580,SNAR-D|100170227,,SNAR-D,100170227,,
16581,SNAR-E|100170220,,SNAR-E,100170220,,
16582,SNAR-F|100126781,,SNAR-F,100126781,,
16583,SNAR-G1|100126780,,SNAR-G1,100126780,,
16584,SNAR-G2|100170228,,SNAR-G2,100170228,,
16585,SNAR-H|100170221,,SNAR-H,100170221,,
16586,SNAR-I|100170222,,SNAR-I,100170222,,
16599,SNHG3-RCC1|751867,,SNHG3-RCC1,751867,1104,RCC1
16613,SNORA11E|100124542,,SNORA11E,100124542,101340250,SNORA11E
16704,SNORD103A|692234,,SNORD103A,692234,,
16749,SNORD114-8|767584,,SNORD114-8,767584,,
16808,SNORD119|100113378,,SNORD119,100113378,,
16811,SNORD121B|100113385,,SNORD121B,100113385,,
16813,SNORD124|100113390,,SNORD124,100113390,101340251,
16844,SNORD31|9298,,SNORD31,9298,,
16861,SNORD44|26806,,SNORD44,26806,,
16866,SNORD47|26802,,SNORD47,26802,,
16872,SNORD50A|26799,,SNORD50A,26799,,
16886,SNORD59B|692090,,SNORD59B,692090,,
16901,SNORD74|619498,,SNORD74,619498,,
16902,SNORD75|692195,,SNORD75,692195,,
16903,SNORD76|692196,,SNORD76,692196,,
16905,SNORD77|692197,,SNORD77,692197,,
16906,SNORD78|692198,,SNORD78,692198,,
16907,SNORD79|26770,,SNORD79,26770,,
16908,SNORD80|26774,,SNORD80,26774,,
16909,SNORD81|26769,,SNORD81,26769,,
16913,SNORD85|692200,,SNORD85,692200,,SNORD103C
17004,SOD2|6648,,SOD2,6648,,
17074,SPANXB2|100133171,,SPANXB2,100133171,728695,SPANXB1
17076,SPANXE|171489,,SPANXE,171489,64648,SPANXD
17087,SPATA1|64173,,SPATA1,64173,100505741,
17125,SPDYE8P|389517,,SPDYE8P,389517,728524,SPDYE8
17137,SPHAR|10638,,SPHAR,10638,5867,RAB4A
17332,ST7OT3|93655,,ST7OT3,93655,,ST7-OT3
17475,SUGT1L1|283507,,SUGT1L1,283507,,SUGT1P3
17525,SUZ12P|440423,,SUZ12P,440423,,SUZ12P1
17737,TBC1D3G|654341,,TBC1D3G,654341,101060321,
17824,TCL6|27004,,TCL6,27004,,
18015,TIAF1|9220,,TIAF1,9220,399687,MYO18A
18180,TMEM133|83935,,TMEM133,83935,143872,ARHGAP42
18508,TOP1P2|7152,,TOP1P2,7152,,
18706,TRIM78P|117852,,TRIM78P,117852,,
18765,TRY6|154754,,TRY6,154754,,PRSS3P2
18779,TSG1|643432,,TSG1,643432,,
18914,TTTY15|64595,,TTTY15,64595,,
18915,TTTY16|252948,,TTTY16,252948,,
19009,TXNRD3IT1|645840,,TXNRD3IT1,645840,114112,TXNRD3
19152,UGT1A3|54659,,UGT1A3,54659,,
19154,UGT1A5|54579,,UGT1A5,54579,,
19218,UPK3B|80761,,UPK3B,80761,105375355,
19495,WBSCR26|171022,,WBSCR26,171022,,ABHD11-AS1
19655,XAGE1D|9503,,XAGE1D,9503,653067,XAGE1B
20048,ZNF252|286101,,ZNF252,286101,,ZNF252P
20267,ZNF573|126231,,ZNF573,126231,,
30000,AKAP2|11217,,AKAP2,11217,445815,PALM2-AKAP2
30001,C1orf175|374977,,C1orf175,374977,,HEATR8
